run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs/DDPG_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-143331,DDPG,20257,9,0.5,0.05,10.0,0.0001,0.99,153.45715738662827,23.706713675512336,3.235281360857152,0.9977523387428947,-2550.512892277638,-9057.3386568
runs/DDPG_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-155009,DDPG,202511,9,0.6,0.05,10.0,0.0001,0.99,354.58709447652086,65.29410845103334,3.5227728615454237,0.9341407003538587,-3031.980744567712,-8761.54109255
runs/DDPG_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-145240,DDPG,20257,9,0.6,0.05,10.0,0.0001,0.99,308.0437878395829,48.21017967293226,3.235281360857152,0.9977523387428947,-1798.0637832983334,-8811.864523799999
runs/DDPG_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-160923,DDPG,202511,9,0.8,0.05,10.0,0.0001,0.99,24683.62440941844,3652.5416484958755,3.5227728615454237,0.9341407003538587,-28130.96967593034,-36248.12639465
runs/DDPG_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-151143,DDPG,20257,9,0.8,0.05,10.0,0.0001,0.99,17062.42187151451,2976.420033901587,3.235281360857152,0.9977523387428947,-10080.428146532377,-20695.10185485
runs/PPO_n13_p0.5_tau0.03_ru10.0_sigw0.0001_seed20257_20250921-174235,PPO,20257,13,0.5,0.03,10.0,0.0001,0.99,155.26832458944995,73.8257890857821,4.727883976120421,1.1005594309562032,-6809.750533190569,-29582.050287100003
runs/PPO_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-225256,PPO,202511,13,0.5,0.05,10.0,0.0001,0.99,46.846814412230636,16.51442465190495,5.09921104181708,0.9344860208734209,-7758.16106648008,-35097.5749939
runs/PPO_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-191623,PPO,20257,13,0.5,0.05,10.0,0.0001,0.99,52.10804285163386,19.764595970918812,4.727883976120421,1.1005594309562032,-7471.535862611532,-27105.2393285
runs/PPO_n13_p0.6_tau0.03_ru10.0_sigw0.0001_seed20257_20250921-185655,PPO,20257,13,0.6,0.03,10.0,0.0001,0.99,1172.9926588635642,200.24894541520453,4.727883976120421,1.1005594309562032,-3293.53347206672,-18594.43072885
runs/PPO_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-000333,PPO,202511,13,0.6,0.05,10.0,0.0001,0.99,57.64135838666959,26.289188815834677,5.09921104181708,0.9344860208734209,-4216.882653023402,-9949.893484600001
runs/PPO_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-202820,PPO,20257,13,0.6,0.05,10.0,0.0001,0.99,69.75654808651184,20.600924289025446,4.727883976120421,1.1005594309562032,-5208.631390827497,-30016.15272755
runs/PPO_n13_p0.8_tau0.03_ru10.0_sigw0.0001_seed20257_20250921-201101,PPO,20257,13,0.8,0.03,10.0,0.0001,0.99,24780.68400106213,19760.33615968483,4.727883976120421,1.1005594309562032,-1847308.540965999,-5825624.06056755
