run,algo,seed,gamma,horizon,K,r_v,r_w,tau,p,normalize,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,optgap_reward_mean,optgap_cost_mean,regret_mean,eval_reward_mean,monitor_reward_smoothed,tb_Vtrue_count,tb_stage_cost_count
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K3_rv1_rw1_p0.5_rho1.001_tau0.1_seed11_fixs0_20251113-071559,DDPG,11,0.99,700,3,1,1,0.1,0.5,True,11.25168600841155,1.6804154248145269,0.11058780245359733,1.401868266681942e-17,-100.7443674507662,100.7443674507662,2.154365974982334,-725.0776477847237,-124.58953195000001,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K3_rv1_rw1_p0.5_rho1.001_tau0.1_seed7_fixs0_20251113-053641,DDPG,7,0.99,700,3,1,1,0.1,0.5,True,15.254937524623555,0.5696127636422237,0.1713628723110913,0.0,-88.02125249703924,88.02125249703924,-9.368409157515273,-1303.4700550137286,-125.0934102,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K3_rv1_rw1_p1.0_rho1.004_tau0.1_seed11_fixs0_20251113-075003,DDPG,11,0.99,700,3,1,1,0.1,1.0,True,1687.8002429901578,12.506337067908827,0.16701782750798505,0.0,-10104.509502627585,10104.509502627585,-98.07141869507058,-377733.43685613037,-12458.053774599999,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K3_rv1_rw1_p1.0_rho1.004_tau0.1_seed7_fixs0_20251113-060947,DDPG,7,0.99,700,3,1,1,0.1,1.0,True,2202.0155036050924,202.7769260483374,0.22779289234299896,2.803736533363884e-17,-9665.743685265692,9665.743685265692,338.10921963615664,-297252.79139282333,-8571.195090500001,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K3_rv1_rw1_p1.0_rho1.005_tau0.1_seed11_fixs0_20251113-081625,DDPG,11,0.99,700,3,1,1,0.1,1.0,True,34500.39469901721,4070.526939764515,0.23710987349740606,0.0,-145502.82989173426,145502.82989173426,31713.078461077996,-6659210.463922846,-1709386.8970004,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/DDPG_K3_rv1_rw1_p1.0_rho1.005_tau0.1_seed7_fixs0_20251113-063608,DDPG,7,0.99,700,3,1,1,0.1,1.0,True,17126.610124720504,5286.6259857983305,0.2978848672200041,5.607473066727768e-17,-57493.05897840245,57493.05897840245,14790.053847731126,-1167392.8626590401,-170493.9311883,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/PPO_K1_rv1_rw1_p0.5_rho1.001_tau0.1_seed11_fixs0_20251111-231800,PPO,11,0.99,700,1,1,1,0.1,0.5,True,0.0508720675501079,0.012216698686926526,0.028039607559753956,0.0,-0.8142931366530973,0.8142931366530973,0.002037259280358476,-0.37010660088891745,-0.23686279999999998,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/PPO_K1_rv1_rw1_p0.5_rho1.001_tau0.1_seed19_fixs0_20251112-155109,PPO,19,0.99,700,1,1,1,0.1,0.5,True,0.08154510420006952,0.011799469888814983,0.05126707358772475,7.00934133340971e-18,-0.5905940888265264,0.5905940888265264,-0.020913625446586485,-0.38632708963542656,-0.20766800000000002,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/PPO_K1_rv1_rw1_p0.5_rho1.001_tau0.1_seed7_fixs0_20251110-182720,PPO,7,0.99,700,1,1,1,0.1,0.5,True,0.06354596680986523,0.006724129659477246,0.05175476642838584,7.00934133340971e-18,-0.22782829863207124,0.22782829863207124,-0.010560591361839193,-0.16063009667689768,-0.158427,0,0
/home/aida-conv/conv_a_star/publ2025-code-converse/final/runs_Nudex_1/PPO_K1_rv1_rw1_p0.8_rho1.002_tau0.1_seed11_fixs0_20251111-233635,PPO,11,0.99,700,1,1,1,0.1,0.8,True,0.13752322233647052,0.07316255856141808,0.03595960699189001,0.0,-2.8243805714419015,2.8243805714419015,0.04520566947395142,-1.0717838596130638,-0.32917539999999995,0,0
