run,run_dir,algo,p,train_seed,eval_seed,eval_episodes,gamma,tau,m,Jx,Jy,Jz,ell,eta,sigma_noise,noise_type,eps_gust,gust_scale,horizon,act_limit,obs_clip,state_limit,cost_limit,terminate_on_unhealthy,unhealthy_penalty,info_clip,total_steps,fixed_init,normalize,num_envs,policy_net,batch_size,buffer_size,learning_starts,train_freq,gradient_steps,action_noise_sigma,label,episode,steps,terminated,truncated,termination_reason,discounted_cost_policy,discounted_cost_policy_finite,discounted_cost_policy_tail_oracle,discounted_cost_oracle,discounted_regret,discounted_regret_stage_action,finite_horizon_opt_gap,optgap_reward_finite,optgap_reward_tail,optgap_cost_tail,reward_return_policy_finite,reward_return_policy_tail_oracle,reward_star_s0,final_state_norm,terminal_discount,terminal_V_star,mean_energy_residual,max_oracle_bellman_residual,V_star_s0,crn_episode,crn_unit,crn_unit_within_p
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,zero,0,512,False,True,horizon,10.439389929059276,10.439389929059276,10.441112668734373,12.033142014144522,1.7112312690248945,-1.5937520850852733,0.19582265223058953,-0.19582265223058953,-0.1960199904985704,0.1960199904985704,-10.439389929059276,-10.441112668734373,-8.729881399709479,1.0192291736602783,0.005823976768663672,0.2958012614966256,9.616873269946424e-17,5.329070518200751e-15,8.729881399709479,0,p0.6_seed0_ep0,seed0_ep0
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,zero,1,512,False,True,horizon,21.55114283101338,21.55114283101338,21.552867070313606,23.79417041584153,2.4137212819124088,-2.2430275848281744,0.1260242786840459,-0.1260242786840459,-0.1261143683525865,0.1261143683525865,-21.55114283101338,-21.552867070313606,-19.139145788401198,1.019246220588684,0.005823976768663672,0.2960587531024083,1.6132928326584306e-16,1.0658141036401503e-14,19.139145788401198,1,p0.6_seed0_ep1,seed0_ep1
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,zero,2,512,False,True,horizon,14.97573558629566,14.97573558629566,14.977457856867176,17.192508220243045,2.3842013550648904,-2.2167726339473757,0.18918689412482118,-0.18918689412482118,-0.18932365545984756,0.18932365545984756,-14.97573558629566,-14.977457856867176,-12.593256501802285,1.0191535949707031,0.005823976768663672,0.2957207145440242,1.218643241873707e-16,7.105427357601002e-15,12.593256501802285,2,p0.6_seed0_ep2,seed0_ep2
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,zero,3,512,False,True,horizon,29.15857479011365,29.15857479011365,29.160330350068108,30.935072294940092,1.9110695126203296,-1.7764975048264304,0.0700684676936959,-0.0700684676936959,-0.07013289365977732,0.07013289365977732,-29.15857479011365,-29.160330350068108,-27.24926083744778,1.0171256065368652,0.005823976768663672,0.3014366341401395,1.5016200088924236e-16,1.0658141036401503e-14,27.24926083744778,3,p0.6_seed0_ep3,seed0_ep3
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,zero,4,512,False,True,horizon,21.47011700653665,21.47011700653665,21.471832191682342,23.713905842067724,2.4214057221106735,-2.243788835530994,0.12701503248915244,-0.12701503248915244,-0.12710506643922864,0.12710506643922864,-21.47011700653665,-21.471832191682342,-19.05042646957167,1.0197101831436157,0.005823976768663672,0.2945041187181019,1.2587587222556706e-16,5.329070518200751e-15,19.05042646957167,4,p0.6_seed0_ep4,seed0_ep4
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,PPO,0.6,1,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,0,512,False,True,horizon,15.975066181381381,15.975066181381381,15.975069719416037,12.903823109421023,7.245188319706559,3.0712430719603567,0.8299293484001037,-0.8299293484001037,-0.829929753678766,0.829929753678766,-15.975066181381381,-15.975069719416037,-8.729881399709479,0.05159614607691765,0.005823976768663672,0.0006074946374546462,4.089083316605657e-17,5.329070518200751e-15,8.729881399709479,0,p0.6_seed1_ep0,seed1_ep0
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,PPO,0.6,1,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,1,512,False,True,horizon,25.27231607498837,25.27231607498837,25.27231998944167,21.785501925349863,6.133174201040472,3.486814149638506,0.3204516206937359,-0.3204516206937359,-0.32045182521975507,0.32045182521975507,-25.27231607498837,-25.27231998944167,-19.139145788401198,0.05468369275331497,0.005823976768663672,0.0006721272171577282,1.0014904639773061e-16,1.0658141036401503e-14,19.139145788401198,1,p0.6_seed1_ep1,seed1_ep1
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,PPO,0.6,1,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,2,512,False,True,horizon,18.54287589870172,18.54287589870172,18.542879287628665,16.2214728136245,5.94962278582638,2.3214030850772005,0.47244486730239166,-0.47244486730239166,-0.472445136408873,0.472445136408873,-18.54287589870172,-18.542879287628665,-12.593256501802285,0.050242673605680466,0.005823976768663672,0.0005818922497666473,6.746193908406875e-17,3.552713678800501e-15,12.593256501802285,2,p0.6_seed1_ep2,seed1_ep2
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,PPO,0.6,1,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,3,512,False,True,horizon,32.43895492224713,32.43895492224713,32.43895814934479,28.610019324944147,5.189697311897014,3.828935597302975,0.19045265542275297,-0.19045265542275297,-0.19045277385156775,0.19045277385156775,-32.43895492224713,-32.43895814934479,-27.24926083744778,0.048855606466531754,0.005823976768663672,0.0005541055184688245,1.3132271759288584e-16,8.881784197001252e-15,27.24926083744778,3,p0.6_seed1_ep3,seed1_ep3
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed1_fixs0_20260516-100323,PPO,0.6,1,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,4,512,False,True,horizon,24.078315791020117,24.078315791020117,24.078319295269914,21.533007641384764,5.027892825698245,2.5453081496353858,0.26392528951931815,-0.26392528951931815,-0.26392547346532075,0.26392547346532075,-24.078315791020117,-24.078319295269914,-19.05042646957167,0.05116929113864899,0.005823976768663672,0.0006016936428128157,9.864482176252538e-17,7.105427357601002e-15,19.05042646957167,4,p0.6_seed1_ep4,seed1_ep4
